iter	Passed	Remaining
0	179	358280
1	208	208673
2	241	161045
3	275	137554
4	311	124115
5	344	114403
6	378	107782
7	413	103042
8	449	99488
9	482	95957
10	517	93580
11	548	90786
12	577	88308
13	605	85902
14	640	84719
15	668	82936
16	696	81245
17	724	79789
18	755	78732
19	790	78227
20	825	77824
21	858	77150
22	893	76775
23	926	76247
24	963	76127
25	997	75717
26	1039	75941
27	1076	75799
28	1111	75545
29	1143	75103
30	1173	74523
31	1207	74281
32	1244	74165
33	1283	74193
34	1319	74070
35	1352	73801
36	1392	73903
37	1436	74173
38	1475	74174
39	1514	74216
40	1557	74414
41	1596	74423
42	1634	74410
43	1673	74378
44	1711	74337
45	1757	74640
46	1806	75048
47	1850	75236
48	1897	75567
49	1942	75740
50	1987	75946
51	2029	76033
52	2069	76019
53	2116	76270
54	2159	76366
55	2200	76405
56	2244	76501
57	2287	76606
58	2328	76619
59	2369	76602
60	2412	76679
61	2452	76654
62	2490	76572
63	2527	76462
64	2571	76548
65	2618	76719
66	2669	77026
67	2714	77133
68	2755	77108
69	2792	77002
70	2835	77036
71	2875	77000
72	2916	76990
73	2954	76885
74	2996	76905
75	3035	76837
76	3070	76684
77	3112	76699
78	3153	76670
79	3191	76596
80	3228	76482
81	3266	76398
82	3303	76295
83	3347	76354
84	3402	76662
85	3456	76936
86	3505	77079
87	3556	77276
88	3612	77569
89	3664	77772
90	3714	77932
91	3759	77965
92	3804	78014
93	3850	78066
94	3900	78208
95	3945	78256
96	3991	78315
97	4035	78330
98	4092	78587
99	4140	78671
100	4190	78791
101	4240	78903
102	4295	79110
103	4338	79101
104	4386	79163
105	4424	79049
106	4467	79041
107	4510	79009
108	4551	78966
109	4597	78988
110	4639	78956
111	4677	78856
112	4716	78759
113	4758	78721
114	4793	78574
115	4835	78527
116	4880	78539
117	4918	78437
118	4958	78371
119	4995	78267
120	5037	78224
121	5082	78234
122	5129	78275
123	5172	78259
124	5218	78271
125	5267	78345
126	5312	78344
127	5360	78399
